reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
b5296022-e741-404a-a5be-4efa3de75962,Donkina Applanaidu,https://play-lh.googleusercontent.com/a/ACg8ocKRm6aAQTNby2LNi2t_XkKVJbQwQtboWvk-6ElI8bFQaWTdwg=mo,appa,5.0,0.0,,2025-08-05 09:30:58,,,,PhonePe
8c0dbb2b-f2b3-456b-8d8b-7238e2103eb3,BRAJESH DHURWEY,https://play-lh.googleusercontent.com/a-/ALV-UjVa_grLcnpBegex4ACPwga-jHKLfuHG2afmdlnOtKH8jLuAvcE,best,5.0,0.0,25.07.11.0,2025-08-05 09:30:30,,,25.07.11.0,PhonePe
650113a5-71f3-425b-81a7-576b1f53ce38,Bikash Nayak,https://play-lh.googleusercontent.com/a/ACg8ocKSisrdZgvU8mmzkMc3LLIOu8LsAUiWq6yv6rzrNG7WKb1O-A=mo,nice app,5.0,0.0,25.07.11.0,2025-08-05 09:30:30,,,25.07.11.0,PhonePe
b250de50-74eb-418c-9d1c-0db81d386a99,Raj Rav,https://play-lh.googleusercontent.com/a-/ALV-UjUoExFWJ6TYy489XETl9MrlULEdHH0da0SVC5iE6NLRYmvWZbek,nice,4.0,0.0,,2025-08-05 09:29:18,,,,PhonePe
4d43d0be-b5ab-4e8b-8376-aaf3417d2055,Mustafadowlath Dowlath,https://play-lh.googleusercontent.com/a/ACg8ocIGqRfbYnB108DfekSQuUvvySpBL9y9PSiMntC52MDeamLGYg=mo,💯😎,5.0,0.0,,2025-08-05 09:29:18,,,,PhonePe
0f05f2d9-3358-4bce-8fa9-01c33ccac944,Aryan Sharma,https://play-lh.googleusercontent.com/a/ACg8ocJJRs6iFYKvuxZu7pC5aUZhirePSsJvLVhBvRmpqnLRvn0VoQ=mo,Nice app Ph,5.0,0.0,25.07.11.0,2025-08-05 09:25:13,,,25.07.11.0,PhonePe
fd41ca21-0b2d-4e10-8e36-545558c99b98,Jeevan Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjUxoUMXtL8UTU6NsQYlxC4WQrp4f5HW8HCrDu7NGSTQfAd1jvA,very nice,5.0,0.0,25.06.27.0,2025-08-05 09:24:54,,,25.06.27.0,PhonePe
1c80af42-d9e3-4d35-a643-df8132aadee9,Vishwanath Rao,https://play-lh.googleusercontent.com/a/ACg8ocIXdngsS_YavfyauNuJzvsLPuWK7wMVXpOWhzYqKphsb4pTLQ=mo,fine,4.0,0.0,25.07.11.0,2025-08-05 09:23:08,,,25.07.11.0,PhonePe
95b92ca4-249e-4aa7-bb8c-5ac63e352b11,Omkar Shrungare,https://play-lh.googleusercontent.com/a/ACg8ocJm3Qdv54ic_2sZmip_XnhUclk8HQyuJBMSnRMMnNNrLCuBow=mo,exlent work,5.0,0.0,25.06.27.0,2025-08-05 09:20:51,,,25.06.27.0,PhonePe
59f53d1d-3d0d-4eab-a99b-369de3cf2c24,Vikas N,https://play-lh.googleusercontent.com/a-/ALV-UjXBZowCLwaJ_DxYb0lBIwfuc3OaEoiI63xFtanB_6YfWJovOlUq,fast process,5.0,0.0,25.06.27.0,2025-08-05 09:20:45,,,25.06.27.0,PhonePe
